id,Time,Time_of_day,Visitors,Day,MonthName,year,Month,Date,day
250,18:00,PM,354,10,April,2014,4,4/10/2014,Thursday
251,7:30,AM,85,11,April,2014,4,4/11/2014,Friday
252,11:00,AM,134,11,April,2014,4,4/11/2014,Friday
253,11:30,AM,60,11,April,2014,4,4/11/2014,Friday
254,12:00,PM,186,11,April,2014,4,4/11/2014,Friday
255,12:30,PM,205,11,April,2014,4,4/11/2014,Friday
256,13:00,PM,230,11,April,2014,4,4/11/2014,Friday
257,13:30,PM,84,11,April,2014,4,4/11/2014,Friday
258,16:30,PM,255,11,April,2014,4,4/11/2014,Friday
259,17:00,PM,131,11,April,2014,4,4/11/2014,Friday
260,17:30,PM,91,11,April,2014,4,4/11/2014,Friday
261,18:30,PM,27,11,April,2014,4,4/11/2014,Friday
262,11:00,AM,130,12,April,2014,4,4/12/2014,Saturday
263,11:30,AM,172,12,April,2014,4,4/12/2014,Saturday
264,12:00,PM,243,12,April,2014,4,4/12/2014,Saturday
265,12:30,PM,206,12,April,2014,4,4/12/2014,Saturday
266,13:00,PM,80,12,April,2014,4,4/12/2014,Saturday
267,13:30,PM,105,12,April,2014,4,4/12/2014,Saturday
268,16:30,PM,56,12,April,2014,4,4/12/2014,Saturday
269,17:00,PM,101,12,April,2014,4,4/12/2014,Saturday
270,11:00,AM,51,13,April,2014,4,4/13/2014,Sunday
271,11:30,AM,27,13,April,2014,4,4/13/2014,Sunday
272,12:00,PM,163,13,April,2014,4,4/13/2014,Sunday
273,12:30,PM,152,13,April,2014,4,4/13/2014,Sunday
274,13:30,PM,47,13,April,2014,4,4/13/2014,Sunday
275,7:30,AM,50,14,April,2014,4,4/14/2014,Monday
276,8:30,AM,33,14,April,2014,4,4/14/2014,Monday
277,11:00,AM,101,14,April,2014,4,4/14/2014,Monday
278,11:30,AM,153,14,April,2014,4,4/14/2014,Monday
279,12:00,PM,167,14,April,2014,4,4/14/2014,Monday
280,12:30,PM,152,14,April,2014,4,4/14/2014,Monday
281,13:00,PM,53,14,April,2014,4,4/14/2014,Monday
