Time	Time_of_day	Visitors	Day	Month	year
4:00 PM	PM	210	16	May	2014
4:30 PM	PM	51	16	May	2014
5:30 PM	PM	443	16	May	2014
5:45 PM	PM	68	16	May	2014
6:00 PM	PM	660	16	May	2014
11:00 AM	AM	164	17	May	2014
11:30 AM	AM	330	17	May	2014
11:45 AM	AM	28	17	May	2014
12:00 PM	PM	506	17	May	2014
12:30 PM	PM	354	17	May	2014
1:00 PM	PM	170	17	May	2014
5:00 PM	PM	53	17	May	2014
5:30 PM	PM	28	17	May	2014
12:00 PM	PM	300	18	May	2014
12:15 PM	PM	57	18	May	2014
1:00 PM	PM	58	18	May	2014
11:00 AM	AM	15	19	May	2014
11:30 AM	AM	118	19	May	2014
12:00 PM	PM	43	19	May	2014
12:15 PM	PM	32	19	May	2014
12:30 PM	PM	119	19	May	2014
12:45 PM	PM	50	19	May	2014
1:00 PM	PM	51	19	May	2014
2:30 PM	PM	127	19	May	2014
5:00 PM	PM	127	19	May	2014
6:15 PM	PM	195	19	May	2014
11:00 AM	AM	378	20	May	2014
11:45 AM	AM	54	20	May	2014
12:00 PM	PM	207	20	May	2014
12:30 PM	PM	370	20	May	2014
1:00 PM	PM	137	20	May	2014
5:00 PM	PM	137	20	May	2014
5:30 PM	PM	407	20	May	2014
11:00 AM	AM	45	21	May	2014
11:30 AM	AM	439	21	May	2014
12:00 PM	PM	264	21	May	2014
12:30 PM	PM	149	21	May	2014
1:00 PM	PM	35	21	May	2014
1:15 PM	PM	62	21	May	2014
1:30 PM	PM	57	21	May	2014
5:00 PM	PM	541	21	May	2014
5:30 PM	PM	961	21	May	2014
5:45 PM	PM	75	21	May	2014
6:00 PM	PM	200	21	May	2014
8:00 AM	AM	72	22	May	2014
10:00 AM	AM	149	22	May	2014
11:00 AM	AM	338	22	May	2014
11:30 AM	AM	337	22	May	2014
12:00 PM	PM	1842	22	May	2014
12:15 PM	PM	96	22	May	2014
12:30 PM	PM	287	22	May	2014
1:00 PM	PM	354	22	May	2014
1:30 PM	PM	90	22	May	2014
4:30 PM	PM	601	22	May	2014
5:00 PM	PM	129	22	May	2014
5:30 PM	PM	150	22	May	2014
6:00 PM	PM	302	22	May	2014
10:00 AM	AM	65	23	May	2014
11:15 AM	AM	47	23	May	2014
11:30 AM	AM	450	23	May	2014
12:00 PM	PM	165	23	May	2014
12:15 PM	PM	53	23	May	2014
12:30 PM	PM	436	23	May	2014
1:00 PM	PM	60	23	May	2014
4:30 PM	PM	170	23	May	2014
5:00 PM	PM	56	23	May	2014
5:30 PM	PM	249	23	May	2014
6:00 PM	PM	210	23	May	2014
11:30 AM	AM	229	24	May	2014
11:45 AM	AM	21	24	May	2014
12:00 PM	PM	273	24	May	2014
12:15 PM	PM	130	24	May	2014
12:30 PM	PM	50	24	May	2014
1:00 PM	PM	86	24	May	2014
1:30 PM	PM	70	24	May	2014
11:00 AM	AM	50	25	May	2014
12:00 PM	PM	561	25	May	2014
12:30 PM	PM	143	25	May	2014
1:15 PM	PM	90	25	May	2014
1:30 PM	PM	102	25	May	2014
10:00 AM	AM	103	26	May	2014
12:00 PM	PM	166	26	May	2014
1:30 PM	PM	66	26	May	2014
2:00 PM	PM	12	26	May	2014
9:00 AM	AM	15	27	May	2014
11:30 AM	AM	15	27	May	2014
12:00 PM	PM	75	27	May	2014
12:30 PM	PM	211	27	May	2014
1:00 PM	PM	141	27	May	2014
1:15 PM	PM	48	27	May	2014
2:45 PM	PM	36	27	May	2014
4:30 PM	PM	200	27	May	2014
5:00 PM	PM	182	27	May	2014
5:30 PM	PM	55	27	May	2014
7:45 AM	AM	129	28	May	2014
8:30 AM	AM	13	28	May	2014
11:00 AM	AM	91	28	May	2014
11:30 AM	AM	573	28	May	2014
11:45 AM	AM	118	28	May	2014
12:00 PM	PM	778	28	May	2014
12:30 PM	PM	342	28	May	2014
1:00 PM	PM	217	28	May	2014
1:15 PM	PM	36	28	May	2014
1:30 PM	PM	36	28	May	2014
2:00 PM	PM	26	28	May	2014
5:00 PM	PM	306	28	May	2014
5:30 PM	PM	330	28	May	2014
6:00 PM	PM	38	28	May	2014
7:30 AM	AM	80	29	May	2014
11:00 AM	AM	9	29	May	2014
11:30 AM	AM	308	29	May	2014
11:45 AM	AM	104	29	May	2014
12:00 PM	PM	1204	29	May	2014
12:30 PM	PM	303	29	May	2014
